id,province,topic,context,options,answer,is_province_specific,also_exist_in_other_province,final_is_province_specific
17,Aceh,Makanan,"Fitri pergi ke rumah saudara yang ada di Aceh Tengah, saat jam makan Fitri di sajikan jamuan makanan.","['A. Fitri disajiikan jamuan makanan berupa tenaruh dedah.', 'B. Fitri disajiikan jamuan makanan berupa gulee keumamah.', 'C. Fitri disajiikan jamuan makanan berupa kuah pliek.']",A,YA,TIDAK,YA
18,Aceh,Makanan,Naura igin membeli masakan daerah yang terbuat dari ikan.,"['A. Naura membeli masakan gulee keumamah.', 'B. Naura membeli ikan goreng.', 'C. Naura membeli masakan ikan pepes.']",A,YA,TIDAK,YA
19,Aceh,Makanan,"Saat pergi ke Aceh, Eka membeli buah Khas Aceh.","['A. Eka membeli buah semangka.', 'B. Eka membeli buah mangga.', 'C. Eka membeli buah Meuria.']",C,YA,TIDAK,YA
20,Aceh,Makanan,Fatiah membuat Rujak Aceh untuk acara dirumahnya.,"['A. Fatiah memasukan mentimun.', 'B. Fatiah memasukan nanas.', 'C. Fatiah memasukan mangga kwen.']",C,YA,TIDAK,YA
21,Aceh,Pernikahan,"Teuku ingin menikah dengan Icut, karena itu Teuku mepersiapkan acara Jak ba Ranup.","['A. Teuke membawa seserahan berupa tebu, dan tunas kelapa.', 'B. Teuke membawa seserahan berupa baju, dan sepatu.', 'C. Teuke membawa seserahan berupa sirih, dan kue.']",C,YA,TIDAK,YA
22,Aceh,Pernikahan,Keluarga calon suami Aisyah membawa talam pada malam ja ba tanda.,"['A. Aisyah di bawakan talam berisi kue-kue.', 'B. Aisyah di bawakan talam berisi siri,dan makan.', 'C. Aisyah di bawakan talam berisi siri, makan kaleng, pakain dan perhiasan.']",C,YA,TIDAK,YA
23,Aceh,Pernikahan,"Dewi bersal dari Nagan Raya, esok hari Dewi akan menikah, keluarga dewi mengadakan acara.","['A. Keluarga Dewi mengadakan acara manoe pucok.', 'B. Keluarga Dewi mengadakan acara siraman.', 'C. Keluarga Dewi mengadakan acara tepung tawar.']",A,YA,TIDAK,YA
24,Aceh,Pernikahan,"Pada saat pernikahan Dian, anda anak-anak yang menari untuk menyabut tamu.","['A. Tarian itu disebut tarian Seudati.', 'B. Tarian itu disebut tarian Ranup Lampuan.', 'C. Tarian itu disebut tarian Ratoh Jaro.']",B,YA,TIDAK,YA
25,Aceh,Pernikahan,"Di pesta pernikahan Indah, Indah dan suami di sandingkan diatas pelaminan dan di peusijuek.","['A. Indah dan suami di peusijuk dengan 4 bahan.', 'B. Indah dan suami di peusijuk dengan10 bahan.', 'C. Indah dan suami di peusijuk dengan 5 bahan.']",A,YA,TIDAK,YA
26,Aceh,Pernikahan,"Nisa barau saja menikah dengan Raja, di hari ke tujuh keluarga Nisa pergi kerumah keluarga Raja.","['A. Keluarga Nisa membawa hantaran berupa telur, dan beras.', 'B. Keluarga Nisa membawa hantaran emas.', 'C. Keluarga Nisa membawa hantaran berupa makana, dodol, dan wajib.']",C,YA,TIDAK,YA
27,Aceh,Pernikahan,"Beni dan Ani baru menikah, mereka belum memiliki rumah.","['A. Mereka tinggal di rumah kontrakan.', 'B. Mereka tinggal di rumah keluarga Beni.', 'C. Mereka tinggal di rumah keluarga Ani.']",C,YA,YA,TIDAK
28,Aceh,Pernikahan,"Lebaran tahun ini, lebaran pertama Rudi dan Kana sebagi suami istri.","['A. Rudi dan Kana berkunjung kerumah saudara dengan membawa kue bolu, atau gula.', 'B. Rudi dan Kana berkunjung kerumah saudara dan diberikan hadiah.', 'C. Rudi dan Kana berkunjung kerumah saudara dengan tanggan kosong.']",A,YA,YA,TIDAK
29,Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Teuku hanya bisa memilih 3 warna baju untuk di pakai saat pesta.","['A. Teuku memilih mamakai warna unggu.', 'B. Teuku memilih mamakai wrana pink.', 'C. Teuku memilih mamakai warna hitam.']",C,YA,TIDAK,YA
30,Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Cut hanya bisa memilih 3 warna baju untuk di pakai saat pesta.","['A. Cut memilih memakai warna merah.', 'B. Cut memilih memakai warna violet.', 'C. Cut memilih memakai warna sage.']",A,YA,TIDAK,YA
31,Aceh,Pernikahan,Riska memakai pakain tradisional adat aceh pada saat pesta pernikahanya.,"['A. Riska memakai baju gaun.', 'B. Riska memakai mukasah.', 'C. Riska memakai baju kurung dan dengan sarung songket.']",C,YA,TIDAK,YA
32,Aceh,Pernikahan,"Dikampung sebelah ada pesta pernikahan, Mama diundang ke pesta pernikahan.","['A. Mama pergi ke pesta pernikahan dengan ibu dari kampung sebelah.', 'B. Mama pergi ke pesta pernikahan dengan ibu-ibu di kampung.', 'C. Mama pergi ke pesta pernikahan sendirian.']",B,YA,YA,TIDAK
33,Aceh,Pernikahan,Nonik ingin mengadakan pesta pernikahan adiknya di kampung.,"['A. Nonik harus mengundang teman-temannya saja.', 'B. Nonik harus mengundang kelurga besar, dan warga kampung.', 'C. Nonik harus mengundang kelurga besar.']",B,YA,YA,TIDAK
34,Aceh,Pernikahan,Aisyah ingin mengadakan pesta pernikahan dengan suasana tradisional.,"['A. Aisayh mengadaka pesta pernikahan di pantai.', 'B. Aisayh mengadaka pesta pernikahan di rumah.', 'C. Aisayh mengadaka pesta pernikahan di gedung.']",B,YA,YA,TIDAK
35,Aceh,Pernikahan,"Dalam acar pernikahan Raja, hidangan yang disajikan bermacam-macam.","['A. Hidangan yang disajikan berupa rendang, masak merah, kuah Beulango.', 'B. Hidangan yang disajikan berupa nasi goreng.', 'C. Hidangan yang disajikan berupa kuah pliek saja.']",A,YA,TIDAK,YA
36,Aceh,Pernikahan,Miranda pulang ke kampung untuk menghadiri pernikahan adik iparnya.,"['A. Miranda memberi hadiah sepeda.', 'B. Miranda memberi hadiah cangkir.', 'C. Miranda memberi hadiah 1 mayam emas.']",C,YA,TIDAK,YA
37,Aceh,Pernikahan,Mama Nadia ingin mengadiri pesta pernikahan.,"['A. Mama Nadia memberikan hadiah buket bunga.', 'B. Mama Nadia memberikan hadiah berupa tas.', 'C. Mama Nadia memberikan hadiah berupa sprei.']",C,YA,YA,TIDAK
38,Aceh,Hubungan Keluarga,Fatimah baru saja menikah.,"['A. Fatimah dan suami tinggal dirumah orang tua fatimah.', 'B. Fatimah dan suami tinggal dirumah kakak ipar.', 'C. Fatimah dan suami tinggal di rumah paman.']",A,YA,YA,TIDAK
39,Aceh,Hubungan Keluarga,Sekarang Rasya hanya memiliki satu orang nenek.,"['A. Rasya tinggal bersama orang tua dan nenek.', 'B. Rasya tinggal bersama nenek.', 'C. Rasya tinggal bersama paman dan nenek.']",A,YA,YA,TIDAK
40,Aceh,Hubungan Keluarga,Mama membeli cincin untuk hadiah pernikahan.,"['A. Mama memberikan kepada orang yang tak dikenal.', 'B. Mama memberikan kepada temannya.', 'C. Mama memberikannya kepada keponakannya.']",C,YA,TIDAK,YA
41,Aceh,Hubungan Keluarga,Sepupu Ayah baru saja terkena musibah.,"['A. Ayah membantu sepupunya.', 'B. Ayah tidak membantu sepupunya.', 'C. Ayah menghina sepupunya.']",A,YA,YA,TIDAK
42,Aceh,Hubungan Keluarga,Ali membuat acara keunduri.,"['A. Ali mendapat bantuan tenaga dari tetangganya.', 'B. Ali mendapat bantuan dari anak-anaknya.', 'C. Ali tidak mendapatkan bantuan dari tetangganya.']",A,YA,YA,TIDAK
43,Aceh,Hubungan Keluarga,Rumah tetangga Syifa kebakaran.,"['A. Syifa hanya melihat saja tetanggnya.', 'B. Syifa ikut menolong untuk memadamkan api bersama warga kampung.', 'C. Syifa tidak menolong tetangganya.']",B,YA,YA,TIDAK
44,Aceh,Hubungan Keluarga,Alex berasal dari Brazil dan ingin snorkling ke Sabang.,"['A. Alex tidak diterima dengan tidak baik di Sabang.', 'B. Alex diusir dari sabang.', 'C. Alex diterima dengan ramah di sabang.']",C,YA,YA,TIDAK
45,Aceh,Hubungan Keluarga,Nur pendatang di kampung Lam Ara.,"['A. Nur di kucilkan oleh asoek lhok.', 'B. Nur diterima dengan baik oleh asoe lhok di kampung Lam Ara.', 'C. Nur tidak mendapatkan hak sebagai orang Lam Ara.']",B,YA,TIDAK,YA
46,Aceh,Hubungan Keluarga,Cia ingin beribadah ke gereja.,"['A. Cia dibebaskan untuk beribadah selama tidak melangar qanun yang ada.', 'B. Cia dilarang untuk beribadah.', 'C. Cia tidak diberikan kebebasan saat beribadah.']",A,YA,TIDAK,YA
47,Aceh,Hubungan Keluarga,Ayah Raja orang Aceh Sedangkan Ibu Raja orang Betawi.,"['A. Raja merupakan keturunan Aceh.', 'B. Raja merupakan keturunan Betawi.', 'C. Raja merupakan Keturunan Belanda.']",A,YA,TIDAK,YA
48,Aceh,"Kehamilan, Bayi, Anak",Ratu sedang hamil dan mengadakan acara mee boh kayee.,"['A. Ratu mengadakan acara pada bulan 8 kehamilan.', 'B. Ratu mengadakan acara pada bulan 2 kehamilan.', 'C. Ratu mengadakan acara pada bulan 3 kehamilan.']",C,YA,TIDAK,YA
49,Aceh,"Kehamilan, Bayi, Anak",Sania ingin membuat acara ba bu tujoeh buleun.,"['A. Sania meminta keluarga suami untuk makan bersama di restoran.', 'B. Sania meminta keluarga suami untuk membawa makanan ke laut dan makan bersama.', 'C. Sania meminta keluarga suami untuk membawa makanan ke rumah keluarga sani dan makan bersama.']",C,YA,TIDAK,YA
50,Aceh,"Kehamilan, Bayi, Anak",Kkeluarga suami Nisa membuat acara keumaweh.,"['A. Keluarga suami Nisa membawa nasi dan lauk pauk.', 'B. Keluarga suami Nisa membawa ayam hidup.', 'C. Keluarga suami Nisa membawa nasi saja tampa lauk pauk.']",A,YA,TIDAK,YA
51,Aceh,"Kehamilan, Bayi, Anak",Ibu Dewi baru melahirkan.,"['A. Ibu Dewi pergi keluar rumah.', 'B. Ibu Dewi harus di rumah samapai 44 hari.', 'C. Ibu Dewi boleh pergi ke luar kota.']",B,YA,TIDAK,YA
52,Aceh,"Kehamilan, Bayi, Anak",Anak ibu Dewi baru 44 hari.,"['A. Anak ibu Dewi dipeucicap makanan.', 'B. Anak ibu Dewi diwarnai rambutnya.', 'C. Anak ibu Dewi ditinggal di rumah neneknya.']",A,YA,TIDAK,YA
53,Aceh,"Kehamilan, Bayi, Anak",Anak Anisa baru saja lahir.,"['A. Anak Anisa langsung diberikan nasi.', 'B. Anak Anisa langsung diberikan madu.', 'C. Anak Anisa langsung diberikan pisang wak.']",C,YA,TIDAK,YA
54,Aceh,"Kehamilan, Bayi, Anak",Anak Lisa diajarkan cara berjalan.,"['A. Anak Lisa dipeutateh.', 'B. Anak Lisa dipajoh bu.', 'C. Anak Lisa ditimang.']",A,YA,TIDAK,YA
55,Aceh,"Kehamilan, Bayi, Anak",Raja ingin membawa anaknya belajar mengaji.,"['A. Raja membawa anaknya sekolah.', 'B. Raja membawa anaknya ke bimbel.', 'C. Raja membawa anaknya ke bale pengajian atau mesjid.']",C,YA,YA,TIDAK
58,Aceh,"Kehamilan, Bayi, Anak",Anak Andi yang duduk di bangku SMP meminta izin untuk keluar rumah.,"['A. Andi memberikan izin sesudah magrib sudah di rumah.', 'B. Andi memberikan izin jam 10 malam sudah di rumah.', 'C. Andi memberikan izin sebelum magrib harus sudah di rumah.']",C,YA,YA,TIDAK
59,Aceh,"Kehamilan, Bayi, Anak",Asila diterima berkerja di Jakarta.,"['A. Asila meminta izin kepada orang tua.', 'B. Asila dimarahi oleh orang tuanya.', 'C. Asila meminta uang oarang tua.']",A,YA,YA,TIDAK
61,Aceh,Kematian,Pak Ihsan merupakan imum meunasah.,"['A. Pak Ihsan mememberikan pengumuman berita duka di meunasah atau mesjid.', 'B. Pak Ihsan mememberikan pengumuman berita duka di kantor geucik.', 'C. Pak Ihsan mememberikan pengumuman berita duka di pasar.']",A,YA,TIDAK,YA
63,Aceh,Kematian,Sebelum mayat dimandikan mayat akan dibaringkan.,"['A. Mayat dibaringkan di atas papan dan diselimuti.', 'B. Mayat akan dibaringkan di lantai dan diselimuti.', 'C. Mayat akan dibaringkan di atas kasur dan diselimuti kain panjang.']",C,YA,TIDAK,YA
64,Aceh,Kematian,Kakek Zainab sudah meninggal selama 44 hari.,"['A. Di rumah Zainab dilakukan kanuri arwah, samadiah dan tahlil.', 'B. Di rumah Zainab dilakukan makan bersama.', 'C. Di rumah Zainab dilakukan upacara Saur matua.']",A,YA,TIDAK,YA
65,Aceh,Kematian,Dewi ingin pergi melayat orang meninggal.,"['A. Dewi memakai pakaian berwarna kuning.', 'B. Dewi memakai pakaian yang tidak mencolok warnanya.', 'C. Dewi memakai pakaian berwarna merah.']",B,YA,YA,TIDAK
66,Aceh,Kematian,Dodi memilih pakaian untuk melayat ke rumah temannya yang baru saja meninggal.,"['A. Dodi memakai baju koko , peci dan sarung.', 'B. Dodi memakai baju kaos dan celana jeans.', 'C. Dodi memakai baju jubah.']",A,YA,YA,TIDAK
67,Aceh,Kematian,"Mutasir seharusnya mendapatkan sepetak tanah, namun kakak Mutasir tidak meberikan hak tersebut.","['A. Muthasir memilih mediasi oleh tetangga.', 'B. Muthasir memilih mediasi oleh keuchik dan tuha peut gampong.', 'C. Muthasir memilih mediasi di kantor polisi.']",B,YA,TIDAK,YA
68,Aceh,Hari Besar Agama,Raja membawa pulang daging sehari sebelum puasa.,"['A. Raja membawa daging meugang.', 'B. Raja membawa daging ke pasar.', 'C. Raja membawa daging ke rumah.']",A,YA,TIDAK,YA
69,Aceh,Hari Besar Agama,Nenek ingin memakan bubur khas Aceh untuk buka puasa.,"['A. Nenek membeli bubur kacang merah.', 'B. Nenek membeli bubuk ayam.', 'C. Nenek membeli bubur ie bu peudah.']",C,YA,TIDAK,YA
70,Aceh,Hari Besar Agama,Risa membeli daging di pasar.,"['A. Risa membeli daging di pasar karena besok ada pesta pernikahan.', 'B. Risa membeli daging di pasar karena besok libur semester.', 'C. Risa membeli daging di pasar karena besok lebaran.']",C,YA,TIDAK,YA
72,Aceh,Hari Besar Agama,Zaki memasak bubur bersama orang kampung di mesjid.,"['A. Zaki akan memasak bubur asyura untuk perayaan muharam.', 'B. Zaki akan memasak bubur kacang hijau.', 'C. Zaki akan memasak bubur maulid.']",A,YA,TIDAK,YA
74,Aceh,Hari Besar Agama,Nailis akan memakai pakaian haji.,"['A. Nailis akan mengikuti pawai 17 agustus.', 'B. Nailis akan mengikuti pawai 1 Muharram.', 'C. Nailis akan mengikuti pawai haji.']",B,YA,TIDAK,YA
75,Aceh,Hari Besar Agama,Keluarga Cut baru saja pulang shalat ied.,"['A. Keluarga Cut langsung pergi ke rumah.', 'B. Keluraga Cut langsung pergi ke laut.', 'C. Keluarag Cut langsung pergi ziarah kubur.']",C,YA,TIDAK,YA
76,Aceh,Hari Besar Agama,Rafif akan menghias mobil dengan tema hari Raya.,"['A. Rafif ingin mengikuti pawai muharram.', 'B. Rafif ingin mengikuti pawai takbiran.', 'C. Rafif ingin mengikuti pawai di kampungnya.']",B,YA,TIDAK,YA
77,Aceh,Hari Besar Agama,Mhayar diundang kerumah saudara saat lebaran.,"['A. Mahyar dihidangkan lontong dan rendang.', 'B. Mahyar dihidangkan nasi lemak dan ayam goreng.', 'C. Mahyar dihidangkan nasi kuning.']",A,YA,YA,TIDAK
78,Aceh,Hari Besar Agama,Zia bersiap pergi ke mesjid saat hari maulid.,"['A. Zia pergi ke mesjid untuk azan dzuhur.', 'B. Zia pergi ke mesjid untuk makan bue keunduri maulid.', 'C. Zia pergi ke mesjid untuk bertemu teman.']",B,YA,TIDAK,YA
79,Aceh,Hari Besar Agama,Mama menghidangkan makanan maulid di rantang untuk diantar ke mesjid.,"['A. Mama menghidangkan 2 lauk ke mesjid.', 'B. Mama menghidangkan 1 lauk ke mesjid.', 'C. Mama menghidangkan 5 atau 10 lauk ke mesjid.']",C,YA,TIDAK,YA
80,Aceh,Pertanian,Yanti pergi ke blang.,"['A. Yanti menamam jangung.', 'B. Yanti menanam padi.', 'C. Yanti menanam jeruk.']",B,YA,TIDAK,YA
81,Aceh,Pertanian,Beni seorang petani yang berasal dari Aceh Selatan.,"['A. Beni seorang petani cabe.', 'B. Beni seorang petani melon.', 'C. Beni seorang petani kopi.']",C,YA,TIDAK,YA
82,Aceh,Pertanian,Ayah Beni ingin mengolah tanah blang untuk ditanami padi.,"['A. Ayah Beni membawa kerbau ke sawah yang kering.', 'B. Ayah Beni membawa kerbau ke kebun.', 'C. Ayah Beni membawa kerbau ke sawah yang berair.']",C,YA,TIDAK,YA
83,Aceh,Pertanian,Lila ingin tabu beni padi.,"['A. Lila menabur benih Padi di lahan berbatu.', 'B. Lila menabur benih Padi di lahan berair.', 'C. Lila menabur benih Padi di lahan kering.']",B,YA,YA,TIDAK
84,Aceh,Pertanian,Safrizal mengadakan acara kanuri blang.,"['A. Safrizal menghidangkan bebek bakar pada acara kanuri blang.', 'B. Safrizal menghidangkan bu kullah pada acara kanuri blang.', 'C. Safrizal menghidangkan spaghetti pada acara kanuri blang.']",B,YA,TIDAK,YA
85,Aceh,IkanTernak,"Sari sekeluarga bergama Islam, dan ayahnya memelihara binatang ternak.","['A. Ayah Sari memilihara Babi.', 'B. Ayah Sari memelihara Sapi.', 'C. Ayah Sari memilhara kucing.']",B,YA,YA,TIDAK
86,Aceh,IkanTernak,Sapi Beni yang ada di kandang kehabisan makanan.,"['A. Beni memberi rumput laut untuk makanan sapi.', 'B. Beni mencari bauh-buahan untuk makanan sapi.', 'C. Beni memberi rumput gajah untuk makanan sapi.']",C,YA,TIDAK,YA
87,Aceh,IkanTernak,Dedi seorang nelayan yang menangkap ikan dengan cara tradisional.,"['A. Dedi menangkap ikan dengan cara tarek pukat.', 'B. Dedi mengakap ikan dengan cara trawl net.', 'C. Dedi menangkap ikan dengan cara harpoon.']",A,YA,YA,TIDAK
88,Aceh,IkanTernak,Raja ingin beternak udang Vaname.,"['A. Raja membuat kolam di dalam rumah.', 'B. Raja membuat kolam di lahan dekat pesisir pantai.', 'C. Raja membuat kolam di dekat sekolah.']",B,YA,YA,TIDAK
89,Aceh,IkanTernak,Dua hari lagi lebaran dewi ingin menjual daging.,"['A. Dewi menjual ke Indomaret.', 'B. Dewi menjual ke pasar atau di depan lorong rumah.', 'C. Dewi menjual ke supermarket.']",B,YA,YA,TIDAK
90,Aceh,Seni,Arbab adalah alak musik tradisional .,"['A. Arbab terbuat dari kayu dan bambu.', 'B. Arbab terbuat dari kulit sapi dan benang hori.', 'C. Arbab terbuat dari labu pahit tua, tempurung, kulit kambing, bambu, dan benang hori.']",C,YA,TIDAK,YA
91,Aceh,Seni,Tarian ranup lapuan dimainkan bersamaan dengan iringan musik.,"['A. Tarian ranup lapuan di ringi dengan serune kalee dan Arbab.', 'B. Tarian ranup lapuan diiringi dengan tambo dan geundrang.', 'C. Tarian ranup lapuan diiringi dengan serune kalee dan geundrang.']",C,YA,TIDAK,YA
92,Aceh,Seni,Rania ingin mengikuti lomba bernyanyi lagu khas Aceh.,"['A. Rania menyanyi lagu Bungong Jeumpa.', 'B. Rania menyanyi lagu Kicir kicir.', 'C. Rania menyanyi lagu Halo-Halo Bandung.']",A,YA,TIDAK,YA
93,Aceh,Seni,Asad ingin menyanyikan lagu untuk penyambutan tamu.,"['A. Asad menyanyikan lagu Lembah Alas.', 'B. Asad menyanyikan lagu saleum.', 'C. Asad menyanyikan lagu Aceh Lon Sayang.']",B,YA,TIDAK,YA
94,Aceh,Seni,Mutia menidurkan anaknya dengan menyanyikan lagu tradisional.,"['A. Mutia menyanyika lagu nina bobo.', 'B. Mutia menyanyikan lagu dodaidi.', 'C. Mutia menyanyikan lagu I Lah Ni Ume.']",B,YA,TIDAK,YA
95,Aceh,Seni,Tarian ranup lampuan dimainkan secara berkelompok.,"['A. Tarian Ranup Lapuan dimainkan oleh tujuh orang Laki-laki.', 'B. Tarian Ranup Lapuan dimainkan oleh tujuh orang wanita.', 'C. Tarian Ranup Lapuan dimainkan oleh sepuluh orang wanita.']",B,YA,TIDAK,YA
96,Aceh,Seni,Tarian ini menceritakan tentang kegiatan nelayan.,"['A. Tarian ini adalah tarian Tarek Pukat.', 'B. Tarian ini adalah Tarian Laweut.', 'C. Tarian ini adalah tarian Tuak Kukur.']",A,YA,TIDAK,YA
97,Aceh,Seni,Desi dan teman-teman menampilkan tarian tradisional.,"['A. Desi dan teman-teman menampilkan Break Dance.', 'B. Desi dan teman-teman menampilkan Tarian Gandrung.', 'C. Desi dan teman-teman menampilkan Tari Saman.']",C,YA,TIDAK,YA
98,Aceh,Seni,Raisa membuat acara penyabutan tamu di acara pestanya.,"['A. Raisa menyuguhkan Traian Ranup Lampuan.', 'B. Raisa menyuguhkan Traian Guel.', 'C. Raisa menyuguhkan Traian Seudati.']",A,YA,TIDAK,YA
99,Aceh,Seni,Risan baru saja mengelar acara sunatan.,"['A. Raisan menghibur tamu dengan Tari Dindong.', 'B. Raisan menghibur tamu dengan Tari Bine.', 'C. Raisan menghibur tamu dengan Tari Rapai Geleng.']",C,YA,TIDAK,YA
100,Aceh,Seni,Fajar dan teman sedang berlatih untuk acara pertunjukan Gayo Festifal.,"['A. Fajar dan teman-temanyanya menampilkan tarian Guel.', 'B. Fajar dan teman-temanyanya menampilkan tarian Ratéb Meuseukat.', 'C. Fajar dan teman-temanyanya menampilkan tarian Binih.']",A,YA,TIDAK,YA
101,Aceh,Seni,Kakak Dinah mengadakan acara intat lintô.,"['A. Kakak Dinah membuat acara shalawat.', 'B. Kakak Dinah membuat acara Meutalèh Pantôn.', 'C. Kakak Dinah membuat acara Baca Puisi.']",B,YA,TIDAK,YA
102,Aceh,Seni,Nenek Dian mendengarkan kisah tentang kehidupan.,"['A. Nenek Dian mendengarkan lagu.', 'B. Nenek Dian mendengarkan shalawat.', 'C. Nenek Dian mendengarkan syair.']",C,YA,TIDAK,YA
103,Aceh,Permainan,Budi bermain galah di lapangan bersama teman-teman.,"['A. Budi bermain bersama empat atau lima orang dalam dua regu.', 'B. Budi bermain bersama dua orang temanya.', 'C. Budi bermain bersama empat atau lima orang.']",A,YA,YA,TIDAK
104,Aceh,Permainan,Rina dan teman-teman ingin bermain dengan alat kapur tulis dan pecahan keramik.,"['A. Rina dan teman-teman ingin bermain engklek.', 'B. Rina dan teman-teman ingin bermain bola lempar.', 'C. Rina dan teman-teman ingin bermain bola tangkap.']",A,YA,TIDAK,YA
105,Aceh,Permainan,Lisa mengajak temannya bermain permainan dengan cara tutup mata.,"['A. Lisa mengajak temanya bermain ureung buta.', 'B. Lisa mengajak temanya bermain tipak rege.', 'C. Lisa mengajak temanya bermain hp.']",A,YA,TIDAK,YA
106,Aceh,Permainan,Lena ingin bermain di depan halaman rumah bersama teman-temannya.,"['A. Lena bermain kelereng bersama teman-temannya.', 'B. Lena bermain adu sumo bersama teman-temanya.', 'C. Lena bermain kartu bersama teman-temanya.']",A,YA,YA,TIDAK
107,Aceh,Permainan,Budi dan Roni ingin bermain Catoe Rimueng.,"['A. Budi dan Roni bermain di laut.', 'B. Budi dan Roni bermain di sekolah.', 'C. Budi dan Roni bermain di bale-bale pengajian.']",C,YA,TIDAK,YA
109,Aceh,Sehari-hari,Beni dan teman ingin bermain game online.,"['A. Beni dan teman ingin pergi ke mesjid.', 'B. Beni dan teman ingin pergi ke warung kopi.', 'C. Beni dan teman ingin pergi ke sekolah.']",B,YA,YA,TIDAK
110,Aceh,Sehari-hari,Nenek ingin pergi ke pasar di hari minggu.,"['A. Nenek pergi ke pasar naik motor.', 'B. Nenek pergi ke pasar naik becak.', 'C. Nenek pergi ke pasar naik kereta api.']",B,YA,TIDAK,YA
