proverb,conversation,explanation,answer1,answer2,is_figurative,answer_key
Parang gabus menjadi parang besi,"Orang 1: Kamu dengar tentang siapa yang terpilih menjadi pemimpin desa kita?  Orang 2: Ya, parang gabus menjadi parang besi.",orang biasa / kecil menjadi orang yang berkuasa.,Orang 2 percaya bahwa para pemimpin desa adalah orang yang biasa-biasa saja dan biasa-biasa saja.,Orang 2 percaya bahwa para pemimpin desa cukup cakap dan terhormat.,1.0,a
Tali jangan putus kaitan jangan sekah,Orang 1: Bagaimana cara menyelesaikan masalah antara dua orang yang sedang berselisih? Orang 2: Tali jangan putus kaitan jangan sekah.,"memutuskan perkara hendaknya secara adil dan bijaksana, sehingga kedua belah pihak yang bersengketa dapat menerimanya dengan lega.",Orang 2 tidak percaya bahwa mereka harus bersikap adil dalam menyelesaikan masalah.,Orang 2 percaya bahwa mereka harus menyelesaikan masalah secara adil untuk kedua belah pihak.,1.0,b
"Ikan biar dapat, serampang jangan pukah","Orang 1: Ayo cepat, kita harus menyelesaikan proyek ini secepat mungkin! Orang 2: Tapi kita perlu berusaha menghindari kesalahan, ikan biar dapat, serampang jangan pukah.",bekerja dengan hati-hati sekali.,Orang 2 percaya bahwa mereka harus bekerja dengan hati-hati dan bukan dengan cepat.,Orang 2 percaya bahwa mereka harus bekerja dengan cepat.,1.0,a
Seperti air pembasuh tangan,Orang 1: Apa pendapatmu tentang hadiah yang diberikan bos kita? Orang 2: Saya rasa ia seperti air pembasuh tangan.,pemberian yang kurang berharga atau murahan,Orang 2 menyukai hadiah.,Orang 2 tidak menyukai hadiah.,1.0,b
Seperti harimau menyembunyikan kuku,"Orang 1: Saya dengar kamu sangat ahli dalam bermain musik, mengapa kamu tidak pernah tampil di depan umum? Orang 2: Ah, saya seperti harimau yang menyembunyikan kuku.","orang yang tak mau menyombongkan kelebihannya (kepandaiannya, kekayaannya, dllsbnya).",Orang 2 tidak ingin menyombongkan kemampuan bermusik mereka di depan umum.,Orang 2 sebenarnya tidak pandai bermain musik.,1.0,a
Seperti embun di ujung rumput,"Orang 1: Bagaimana kabarmu? Sudah lama tidak bertemu. Orang 2: Ya, ada beberapa hal yang tidak berjalan sesuai harapan. Saya merasa seperti embun di ujung rumput.","sangat rapuh / goyah, misalnya tentang kedudukan, pekerjaan, hubungan, dllsbnya.",Kehidupan orang 2 berjalan cukup baik.,Orang 2 sedang menghadapi beberapa masalah dalam hidupnya.,1.0,b
Pandai berminyak air,Orang 1: Bagaimana kamu bisa membuat benda tak berharga menjadi berguna? Orang 2: Saya pandai berminyak air.,"orang yang pandai menggunakan barang-barang yang tak berharga, tetapi baik atau memuaskan hasilnya",Orang 2 pandai membuat sesuatu yang tidak berharga menjadi berguna.,Orang 2 tidak dapat membuat sesuatu yang tidak berharga menjadi berguna.,1.0,a
Seperti lipas kudung,"Orang 1: Kapa kabarmu? Apakah Anda akan berlibur dalam waktu dekat? Orang 2: Aku memang seperti lipas kudung, tanganku hampir tak pernah berhenti bergerak untuk melakukan sesuatu.","selalu sibuk, tangan hampir tak pernah berhenti bergerak untuk melakukan sesuatu.",Orang 2 akan segera berlibur.,Orang 2 mungkin tidak akan berlibur dalam waktu dekat.,1.0,b
Menepak nyamuk menjadi daki,"Orang 1: Kenapa kamu selalu membully temanmu yang lemah? Orang 2: Ah, itu kan cuma bercanda. Lagipula, dia kan tidak bisa membalas. Orang 1: Tapi itu tidak baik. Menepak nyamuk menjadi daki.","melawan orang yang lemah tak akan mendapat nama baik, justru sebaliknya.",Orang 2 seharusnya tidak merundung seseorang yang lemah.,Orang 2 tidak masalah untuk menggertak seseorang yang lemah.,1.0,a
"Rupa seperti pulut, bila dimasak berderai","Orang 1: Apa pendapatmu tentang si Asep? Orang 2: Rupa seperti pulut, bila dimasak berderai.","- penampilan seperti orang pandai, tetapi sebenarnya pengetahuannya tidak ada.",Orang 2 menganggap Asep pintar.,Orang 2 berpikir bahwa Asep tidak terlalu pintar.,1.0,b
"Raja adil raja disembah, raja lalim raja disanggah","Orang 1: Apa pendapatmu tentang pemimpin kita saat ini? Orang 2: Saya pikir, raja adil raja disembah, raja lalim raja disanggah.","pemimpin yang adil akan dipatuhi, perintah yang sewenang-wenang akan dilawan.","Orang 2 berpikir bahwa jika pemimpinnya adil, orang-orang akan mengikuti.","Orang 2 berpikir tidak ada yang akan mengikuti pemimpin, meskipun mereka adil.",0.0,a
"Air orang disauk, ranting orang dipatah, adat orang diturut","Orang 1: Apa pendapatmu tentang kebiasaan orang di daerah kita? Orang 2: Air orang disauk, ranting orang dipatah, adat orang diturut.",kita hendaknya menurutkan adat (kebiasaan) negeri atau daerah masing-masing.,Orang 2 berpikir bahwa kebiasaan orang-orang itu aneh dan harus diubah.,Orang 2 berpikir bahwa kebiasaan orang-orang baik-baik saja apa adanya.,1.0,b
Bagai pagar makan tanaman,Orang 1: Di mana berlian saya? Saya pikir Ajie sedang menontonnya.  Orang 2: Buruk sekali. bagai pagar makan tanaman.,yang disuruh menjaga / mengawasi justru mengambil barang yang dijaga / diawasinya itu.,Orang 2 mengambil berlian itu.,Orang 2 tidak mengambil berlian tersebut.,1.0,a
"Sekali lancung ke ujian, seumur hidup orang tak percaya","Orang 1: Apakah kamu pernah mengkhianati temanmu? Orang 2: Ya, sekali saja. Sekali lancung ke ujian, seumur hidup orang tak percaya.",sekali saja mengkhianati teman maka untuk selanjutnya anda tidak dipercayai lagi.,Orang 2 akan dipercaya oleh teman-temannya lagi.,Orang 2 mungkin tidak akan dipercaya oleh teman-temannya lagi.,0.0,b
Tertampi beras bubuk,"Orang 1: Bagaimana pekerjaanmu sekarang? Orang 2: Sudah mendapat pekerjaan baru, tapi gajinya tertampi beras bubuk.",mendapat pekerjaan namun tidak mencukupi untuk penghidupan.,Pekerjaan baru orang 2 tidak cukup untuk hidup.,Pekerjaan baru orang 2 membayar cukup untuk hidup.,1.0,a
Batu di pulau tiada berkajang,"Orang 1: Aku ingin mencoba memperbaiki mobil tua ini, meski sudah rusak parah. Orang 2: Tapi mobil itu sudah terlalu tua. Ingatlah, batu di pulau tiada berkajang.","jangan mengerjakan pekerjaan yang sia-sia, yang kecil kemungkinan untuk berhasil.",Mobilnya kemungkinan bisa diperbaiki.,Mobil itu mungkin tidak diperlukan dan tidak layak untuk dicoba.,1.0,b
Seperti negeri dialahkan garuda,Orang 1: Bagaimana suasana di kota itu sekarang? Orang 2: Seperti negeri dialahkan garuda.,sangat sepi sekali.,Kota ini sangat sepi.,Kota ini sangat hangat dan ramah.,0.0,a
Seperti anjing berebut tulang,"Orang 1: Apa yang terjadi dengan dua sahabatmu, mereka bertengkar dengan sangat ganas? Orang 2: Mereka sudah tidak peduli dengan persahabatan lagi, seperti anjing berebut tulang. Orang 1: Itu sangat menyedihkan.",orang yang memperebutkan kedudukan (harta/tahta/wanita) dengan rakus sehingga rasa kemanusiaannya sampai hilang.,Teman-temannya tidak akan menjadi orang jahat.,Teman-teman berubah menjadi orang jahat.,1.0,b
Diindang tak berantah,Orang 1: Kenapa barang-barang di toko itu tidak laku terjual?  Orang 2: Mungkin diindang tak berantah.,tidak ada yang terpilih; semuanya tidak laku karena tidak ada yang baik.,Barang-barang belum terjual karena kualitasnya buruk.,Barang-barangnya belum terjual karena hanya ada sedikit pelanggan.,0.0,a
"Siapa yang menabur angin, akan menuai badai","Orang 1: Aku dengar dia suka mencuri uang dari teman-temannya. Orang 2: Ya sudah, siapa yang menabur angin, akan menuai badai.","dia yang berbuat, dia pula yang terkena akibat.",Orang tersebut tidak mungkin mendapatkan uangnya sendiri dicuri.,Orang tersebut mungkin memiliki uangnya sendiri yang dicuri.,1.0,b
"Nasi sama ditanak, kerak dimakan seorang","Orang 1: Bagaimana pendapatmu tentang proyek ini? Orang 2: Nasi sama ditanak, kerak dimakan seorang.","pekerjaan dilakukan bersama-sama, namun keuntungan hanya dinikmati oleh seorang saja.",Proyek ini hanya menguntungkan beberapa orang saja.,Proyek ini menguntungkan banyak orang.,1.0,a
Seperti anai-anai bubus,"Orang 1: Ada apa di pasar? Orang 2: Banyak sekali orang, seperti anai-anai bubus.",banyak sekali berduyun-duyun; berkeliaran kesana kemari.,Ada banyak orang yang berdiri di sekitar beberapa kios di pasar.,Ada banyak orang yang berjalan-jalan di pasar.,1.0,b
Bagai air titik ke batu,Orang 1: Apa yang harus saya lakukan untuk membantu teman saya yang selalu berbuat jahat? Orang 2: Kadang-kadang sulit untuk nagai air titik ke batu.,sukar sekali memberi nasihat kepada orang jahat.,Tidak banyak yang dapat dilakukan oleh si orang 1 untuk membantu temannya.,Ada beberapa cara yang dapat dilakukan oleh si orang 1 untuk membantu temannya.,1.0,a
Seperti tikus jatuh ke beras,Orang 1: Kamu lihat siapa itu? Dia selalu membeli barang-barang mewah dan berfoya-foya.  Orang 2: Seperti tikus jatuh ke beras.,1. tampak terlalu menikmati kelezatan hidup di dunia; 2. lelaki miskin beristrikan perempuan yang kaya.,Mereka tidak menikmati kenikmatan hidup di dunia.,Mereka menikmati kenikmatan hidup di dunia.,1.0,b
"Ada ubi ada talas, ada budi ada balas","Orang 1: Surya selalu membully rekan kerjanya yang baru. Saya tidak percaya tidak ada yang dilakukan oleh pihak manajemen terkait hal ini. Orang 2: Ada ubi ada talas, ada budi ada balas.",Setiap perbuatan baik selalu ada ganjaran kebaikannya; setiap perbuatan jahat pasti ada balasannya.,Orang 2 berharap orang 1 akan segera mendapatkan hukuman.,Orang 2 berharap orang 1 tidak akan segera mendapatkan hukuman.,1.0,a
Air ditetak takkan putus,Orang 1: Apa yang harus saya lakukan jika saya dan saudara saya selalu bertengkar? Orang 2: Air ditetak takkan putus.,orang berkeluarga tak dapat dibuat bermusuhan selama-lamanya.,Konflik dalam rumah tangga bisa berakhir dengan putusnya tali persaudaraan.,Konflik dalam rumah tangga tidak akan berakhir dengan putusnya tali persaudaraan. Mereka tidak bisa bermusuhan selama-lamanya.,1.0,b
Air jernih ikannya jinak,Orang 1: Bagaimana menurutmu Indonesia sebagai negara untuk tinggal? Orang 2: Indonesia adalah air jernih ikannya jinak.,negeri yang aman makmur dan penduduknya ramah-ramah terhadap orang asing/pendatang.,Indonesia adalah negeri yang aman makmur. Penduduknya ramah-ramah.,Indonesia adalah negara penuh korupsi dan banyak masalah pemerintahan.,1.0,a
Air pun ada pasang surutnya,"Orang 1: Wah, hari ini saya sangat beruntung mendapatkan pekerjaan baru! Orang 2: Ya, tapi jangan lupa bahwa untung dan malang itu berganti-ganti. Orang 1: Benar juga ya, Air pun ada pasang surutnya.",untung dan malang itu berganti-ganti; tak selamanya senang.,Orang 2 mengingatkan Person untuk merayakan apa yang telah dicapainya saat ini.,Orang 2 mengingatkan Orang 1 bahwa jangan terlalu senang dengan pekerjaan barunya. Nasib manusia bisa berubah kapan saja.,1.0,b
Air susu dibalas dengan air tuba,"Orang 1: Saya sudah sangat baik pada teman saya, tapi dia malah mengkhianati saya.  Orang 2: Seperti kata pepatah, air susu dibalas dengan air tuba.",perbuatan baik terhadap seseorang dibalas dengan perbuatan jahat.,Kebaikan dibalas dengan kejahatan.,Kejahatan dibalas dengan kejahatan.,1.0,a
diam diam menghanyutkan,Orang 1: Kenapa sih kamu selalu diam-diam saja di kelas?  Orang 2: Haha. Diam diam menghanyutkan.,Orang yang pendiam biasanya memiliki banyak pengetahuan.,Orang 2 menjelaskan bahwa dirinya memang seorang pendiam,Orang 2 menjelaskan bahwa diirinya seseorang yang memiliki banyak ilmu pengetahuan,1.0,b
Air yang dingin juga yang memadami api,Orang 1: Aku tidak tahu bagaimana cara menenangkan temanku yang sedang marah. Orang 2: Coba kamu bicara dengan. Air yang dingin juga yang memadami api.,perkataan yang lemah lembut juga yang dapat menyejukkan hati orang yang sedang marah.,Orang yang marah dapat ditenangkan dengan perkataan yang lembut.,Orang yang marah hanya menurut kepada orang yang berbicara dengan lembut.,1.0,a
Air yang tenang jangan disangka tak berbuaya,"Orang 1: Kamu tahu siapa itu Ahmad? Dia selalu diam dan tenang, sepertinya tidak punya banyak pengetahuan.  Orang 2: Air yang tenang jangan disangka tak berbuaya.",seseorang yang diam tenang jangan dianggap tidak berisi/berilmu.,Ahmad memang pendiam dan misterius. Tingkat pengetahuannya mungkin juga biasa-biasa saja..,"Meskipun Ahmad pendiam, bisa saja dia adalah orang yang berilmu.",1.0,b
Alah membeli menang memakai,"Orang 1: Aku ingin membeli sepatu baru tapi bingung harus pilih yang murah atau yang mahal.  Orang 2: Lebih baik Allah membeli, menang memakai.",membeli barang bagus tetapi mahal masih lebih menguntungkan daripada membeli barang murah tapi cepat rusak.,Orang 1 akhirnya memutuskan untuk membeli barang bagus dengan harga mahal.,Orang 1 akhirnya memutuskan untuk membeli barang bagus dengan harga murah.,0.0,a
"Angkuh terbawa, tampan tinggal","Orang 1: Kamu lihat siapa tadi di kafe? Dia pakai baju mahal banget, tapi kok tetap kelihatan aneh ya?  Orang 2: Oh itu, angkuh terbawa, tampan tinggal.",orang yang suka bersolek dan berlaga seperti orang cantik/tampan padahal tidak sesuai dengan dirinya.,Orang 2 mengatakan bahwa seseorang yang berada di kafe bersolek dan terlihat sangat bagus.,Orang 2 mengatakan bahwa seseorang yang berada di kafe bersolek tapi tidak terlihat pantas.,0.0,b
Apa yang ditanam itulah yang tumbuh,"Orang 1: Aku tidak pernah melakukan kebaikan pada orang lain, tapi mengapa hidupku selalu penuh dengan keburukan?  Orang 2: Kamu harus ingat, apa yang ditanam itulah yang tumbuh.",kejahatan akan mendapat balasan kejahatan sedangkan kebaikan akan mendapat balasan kebaikan pula.,Orang 2 mengingkatkan orang 1 bahwa kebaikannya akan dibalas dengan kebaikan suatu hari nanti.,Orang 2 mengingkatkan orang 1 bahwa kejahatan akan dibalas dengan kebaikan suatu hari nanti.,1.0,a
Api kecil baik padam,Orang 1: Aku belum tahu harus bagaimana menghadapi masalah ini. Orang 2: Api kecil baik padam.,basmilah/perangilah kejahatan tatkala wujudnya masih kecil.,Orang 2 akan menunda menyelesaikan masalah ini ketika semua terasa aman.,Orang 1 akan menyelesaikan masalah sedini mungkin.,1.0,b
Api padam puntung berasap,"Orang 1: Saya mendengar kasus itu masih berlanjut, apa yang terjadi? Orang 2: Ya, api padam puntung berasap.",keputusan telah dijatuhkan lalu datang dakwaan baru lagi.,Perkara baru muncul setelah hakim memutuskan kesimpulan perkara lama.,Perkara lama dan baru belum juga usai diputuskan kesimpulannya oleh hakim.,1.0,a
"Asal insang, ikanlah","Orang 1: Kamu mencari istri yang seperti apa sih? Orang 2: Asal insang, ikanlah.",orang yang tidak memilih-milih pekerjaan atau istri.,Orang 2 menegaskan bahwa ia sangat pemilih dalam mencari istri,Orang 2 menegaskan bahwa ia tidak terlalu pemilih dalam mencari istri,1.0,b
"Awak sakit daging menimbun, sakit kepala panjang rambut","Orang 1: Apa kabar? Kamu terlihat sedih akhir-akhir ini. Orang 2: Tidak ada. Awak sakit daging menimbun, sakit kepala panjang rambut.",menyembunyikan kesenangan hidup dari pandangan orang.,Orang 2 tidak ingin menceritakan ke publik tentang kehidupan pribadinya yang menyenangkan.,Orang 2 merasa ingin menceritakan ke publik tentang kehidupan pribadinya yang menyenangkan.,1.0,a
Ayam bertelur di atas padi mati kelaparan,Orang 1: Bagaimana kabar temanmu yang menikah dengan orang kaya? Orang 2: Ayam bertelur di atas padi mati kelaparan.,orang yang bersuamikan/beristrikan orang kaya namun hidupnya tetap susah juga.,Orang 2 mengatakan bahwa temannya hidup bahagia karena memiliki pasangan yang kaya raya.,Orang 2 mengatakan bahwa temannya masih saja hidup susah meskipun memiliki pasangan yang kaya raya.,1.0,b
Ayam putih terbang siang,"Orang 1: Apakah kamu yakin bahwa dia mencuri uang itu? Orang 2: Tentu saja, ayam putih terbang siang.",perkara/persoalan yang sudah jelas bukti-buktinya.,Orang 2 sudah paham siapa yang mencuri uang.,Orang 2 belum tahu siapa yang mencuri uang.,1.0,a
"Yang berkurap pembawa buluh, yang buta pengembus lesung","Orang 1: Saudara laki-laki saya mengalami tantangan fisik, dan dia mengalami kesulitan untuk mencari pekerjaan. Apakah ada sesuatu di tempat kerja Anda? Orang 2: Yang berkurap pembawa buluh, yang buta pengembus lesung.",Setiap orang (walaupun cacat fisik sekalipun) ada gunanya asalkan kita pandai mencarikan pekerjaan yang sesuai dengannya,Orang 2 tidak dapat membantu mencarikan pekerjaan untuk saudara orang 1.,Orang 2 dapat membantu mencarikan pekerjaan untuk saudara orang 1.,1.0,b
"Dinding teretas, tangga terpasang","Orang 1: Apakah kamu yakin dia mencuri uangmu? Orang 2: Dinding teretas, tangga terpasang.",bukti sudah cukup bahwa seseorang berniat jahat.,Orang 2 berpikir tidak.,Orang 2 berpikir ya.,1.0,b
Dunia tak selebar daun kelor,Orang 1: Saya merasa putus asa setelah gagal dalam ujian ini. Saya pasti akan gagal dalam mata kuliah ini.  Orang 2:  Dunia tak selebar daun kelor.,jangan cepat berputus-asa karena masih banyak yang lain.,Orang 1 seharusnya tidak menyerah dan tetap mencoba.,Orang 1 seharusnya menyerah dan tidak mencoba lagi.,1.0,a
"Enak lauk dikunyah-kunyah, enak kata diperkatakan","Orang 1: Apa sih rahasia kamu bisa memberikan nasihat yang baik? Orang 2: Enak lauk dikunyah-kunyah, enak kata diperkatakan.",perkataan/nasihat yang baik itu seringlah diulang-ulang supaya terpahami dengan baik.,Orang 2 menyarankan orang 1 untuk tidak memberikan nasihat secara berulang-ulang agar bisa didengar.,Orang 2 menyarankan orang 1 untuk memberikan nasihat secara berulang-ulang agar bisa didengar.,0.0,b
"Enggang sama enggang, pipit sama pipit","Orang 1: Saya harap anak laki-laki saya akan menikahi dengan baik agar istri bisa membantunya dalam karirnya. Orang 2: Berhenti bermimpi! Enggang sama enggang, pipit sama pipit.","anak orang besar kawin dengan anak orang besar, orang kecil dengan orang kecil pula.",Orang 2 berpikir anak Orang 1 tidak akan menikahi seorang istri yang bisa membantunya dalam karirnya.,Orang 2 berpikir anak Orang 1 akan menikahi seorang istri yang bisa membantunya dalam karirnya.,1.0,a
Getikkan puru dibibir,"Orang 1: Kenapa kamu selalu menunda-nunda pekerjaanmu? Padahal deadline sudah dekat.  Orang 2: Aku tahu, tapi aku merasa sulit untuk memulainya.  Orang 1: Kalau begitu, kenapa tidak meminta bantuan orang lain?  Orang 2: Tidak, nanti aku malu. Aku akan menyelesaikannya sendiri.  Orang 1: Baiklah, getikkan puru dibibir.",perbuatan yang menambah kesukaran pada diri sendiri.,Orang 1 mungkin berpikir bahwa orang 2 tidak bisa menyelesaikan pekerjaannya bukanlah kesalahan orang 2 sendiri.,Orang 1 mungkin berpikir bahwa orang 2 tidak bisa menyelesaikan pekerjaannya adalah kesalahan orang 2 sendiri.,1.0,b
"Harapkan guntur di langit, air di tempayan dicurahkan","Orang 1: Aku ingin sekali memenangkan undian mobil itu, aku yakin aku akan menang!  Orang 2: Tapi Anda harus ingat, harapkan guntur di langit, air di tempayan dicurahkan.","terlalu mengharapkan keuntungan yang belum pasti, yang sudah ada ditangan disia-siakan, akhirnya yang manapun tidak dapat.",Tidak mungkin orang 1 akan memenangkan undian mobil itu.,Mungkin orang 1 akan memenangkan undian mobil itu.,1.0,a
Bagai musang berbulu ayam,"Orang 1: Apa pendapatmu tentang teman baru kita? Orang 2: Dia terlihat baik dan ramah, tapi hatiku merasa ragu. Orang 1: Kenapa? Orang 2: Karena saya merasa bahwa dia seperti musang berbulu ayam.",orang jahat yang berpura-pura baik.,Orang 2 berpikir bahwa teman baru itu adalah orang baik yang pura-pura jahat.,Orang 2 berpikir bahwa teman baru itu adalah orang jahat yang pura-pura baik.,1.0,b
Bagai pelanduk di cerang rimba,"Orang 1: Aku tidak tahu harus berbuat apa, semuanya terasa begitu menakutkan.  Orang 2: Kamu seperti pelanduk di cerang rimba.  Orang 1: Apa maksudmu?  Orang 2: Ah, ya. Bagai pelanduk di cerang rimba.",sangat ketakutan; bingung tak tahu mau berbuat apa; kehilangan akal.,Orang 1 sangat takut dan gila.,Orang 1 tidak begitu takut dan waras.,1.0,a
"Seciap bagai ayam, sedencing bagai besi","Orang 1: Kita harus selalu bersatu dan bekerja sama dalam menghadapi masalah. Orang 2: Benar sekali, seciap bagai ayam, sedencing bagai besi.",seia sekata; senasib sepenanggung,Orang kedua berpendapat bahwa ayam dan besi sama.,Orang kedua yakin bahwa mereka dapat menyelesaikan masalah bersama.,1.0,b
Kail sejengkal janganlah menduga dalam lautan,Orang 1: Saya ingin menantang profesor itu dalam debat. Orang 2: Kail sejengkal janganlah menduga dalam lautan.,kalau ilmu pengetahuan masih sedikit janganlah coba berlawanan dengan orang pandai.,Orang 1 sebaiknya mungkin tidak menantang profesor atau menantang profesor dengan sembrono.,Orang 1 sebaiknya mungkin menantang profesor atau menantang profesor dengan sembrono.,1.0,a
Ada gula ada semut,"Orang 1: Kok tahu-tahu semua orang sudah tahu rahasiaku ya?  Orang 2: Ya jelas, ada gula ada semut.",beberapa hal di dunia ini amat sulit atau bahkan mustahil disembunyikan.,Orang 2 mengisyaratkan bahwa rahasia A hanya diketahui oleh dirinya,Orang 2 mengisyaratkan bahwa rahasia A telah diketahui oleh banyak orang.,1.0,b
"Ada nyawa, nyawa ikan","Orang 1: Bagaimana kabarmu? Sudah sembuh dari sakitnya?  Orang 2: Belum sepenuhnya sembuh, tapi masih bertahan. Ada nyawa, nyawa ikan.  Orang 1: Semoga cepat sembuh ya.","seseorang dalam kondisi payah; masih hidup belum mati, tetapi salah sedikit nyawa melayang.",Orang 2 dalam kondisi yang sangat tidak sehat.,Orang 2 dalam kondisi yang hampir mau sehat,1.0,a
Ada umur ada rezeki,"Orang 1: Aku takut tidak bisa membayar tagihan bulan ini. Orang 2: Jangan khawatir, ada umur ada rezeki.",selama masih hidup rezeki dari Tuhan selalu ada.,Orang 2 menekankan untuk tidak khawatir selama dia sudah tua.,Orang 2 menekankan bahwa rejeki telah disediakan oleh Tuhan kepada yang masih hidup.,0.0,b
"Adat hidup tolong-menolong, syariat palu-memalu","Orang 1: Kamu bisa tolong aku nggak? Aku butuh bantuan untuk mengangkat barang-barang ini.  Orang 2: Tentu saja, adat hidup tolong-menolong, syariat palu-memalu.",dalam kehidupan setiap hari kita haruslah saling tolong menolong.,Orang 1 akan membantu.,Orang 1 tidak akan membantu.,0.0,a
"Adat juara kalah menang, adat saudagar laba rugi","Orang 1: Aku gagal dalam ujian kali ini, aku merasa putus asa. Orang 2: Janganlah berputus asa, adat juara kalah menang, adat saudagar laba rugi. Teruslah mencoba, pasti akan berhasil suatu saat nanti.","sudah menjadi sesuatu yang lumrah, ada kalanya kita berjaya, ada masanya kita gagal. Janganlah kita berputus asa, tetapi terus mencoba sehingga mendapat kejayaan.",Orang 2 menekankan bahwa kita harus selalu berhasil dalam setiap usaha.,Orang 2 menekankan bahwa adalah hal yang biasa untuk terkadang gagal atau berhasil dalam suatu usaha.,1.0,b
"Adat muda menanggung rindu, adat tua menahan ragam","Orang 1: Kenapa kamu selalu merindukan masa muda?  Orang 2: Karena adat muda menanggung rindu, adat tua menahan ragam.","Masa muda dan baru semua rasanya indah, apabila sudah lama dan tua semua rasanya siksa.","Bagi orang2, masa muda adalah masa yang paling indah.","Bagi orang2, masa tua adalah masa yang paling indah.",0.0,a
