ID,Source,Subject,Exam Type,Profession Group,Question,Option A,Option B,Option C,Option D,Option E,Answer Key,is_few_shot
14,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Fungsi On spot explanation  adalah…,Menghibur tamu,Keakraban,Menyenangkan tamu,Memperkaya pengalaman tamu,Pengalih perhatian dan pelengkap,D,0
15,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"Berikut yang harus dimiliki oleh Guide dalam bertugas, kecuali…",Sensitive,Sense of humour yang tinggi,Sense of Social,Sense of Adaptation  ,Empati,A,0
16,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"Seorang Guide tidak harus berbicara sepanjang waktu, karena proses Guiding memiliki ritme nya tersendiri. Ritme perilaku wisatawan pada pagi hari biasanya…",Segar bugar,Konsentrasi tinggi,Terjaga,Fokus,Mengantuk,B,0
17,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Seorang Guide setelah bertugas biasanya mendapatkan…,Guide License,Guide Maker,Guide Order,Guide Fee,Phonecall Order,D,0
18,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Organisasi yang menaungi Pramuwisata Indonesia adalah…,HPI,WFTGA,PPI,ASITA,KNPI,A,0
19,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"“Well Ladies and Gentleman, Now we’re in the end of this tour…on behalf of Pioneer Tour and Travel I say sorry If I was made some mistakes…” adalah bentuk…",Closing,Opening,Giving Announcement,General information,On spot explanation,A,0
20,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Bentuk kerjasama antara Guide dan Driver adalah…,Koordinasi tentang rute,Memperingatkan,Konsultasi tentang gaji ,Kompetisi,Intervensi,A,0
21,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Yang bukan bahasa non verbal dalam pemanduan wisata adalah,Presentasi,Ekspresi wajah,Kontak mata,Body Language,Bahasa Tubuh,A,0
22,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Salah satu kewajiban tambahan Guide adalah…,Membawa ke pusat oleh-oleh,Menjawab setiap pertanyaan,Menghibur wisatawan,Menyanyi,Memperagakan budaya,C,0
23,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"Bila ada Force Majeur, hal terbaik yang bisa dilakukan oleh Guide adalah…",Mengalihkan perhatian wisatawan,Menghibur wisatawan,Mengisi waktu,Meminta tenang dan jujur tentang masalah,Lapor pada atasan,D,0
24,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Teknik presentasi yang tidak baik adalah…,Penuh informasi sepanjang waktu,Menghibur dan mengajak tertawa,Santai bercanda namun serius pada informasi ,Tertawa terbahak-bahak,Pandai menyanyi,D,0
25,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Etika sebagai Pramuwisata Indonesia yang tidak baik dari segi sikap adalah…,Masuk kamar tamu kapan saja,Menguap,Bersendawa,Meminta No Hp,"Ramah, sopan dan bersahabat",A,0
26,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,SOP seorang pramuwisata yang baik dari segi pergaulan adalah…,Tidak berkata kotor,Menyisir dan memotong rambut rapi,Sopan,Akrab,Bersahaja,D,0
27,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Mata selalu memandang ke mata lawan bicara bagi Pramuwisata berarti…,Percaya diri,Semangat,Marah,Grogi,Hangat,A,0
28,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Menjelaskan dengan menggunakan tangan kiri pada mik bentuk…,Larangan,Keharusan,Kewajiban,Kedisiplinan,Kewibawaan,A,0
29,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Salah satu metode mengenali medan guiding bagi Pramuwisata paling bagus adalah…,Browsing,Survey lokasi,Chatting,Pergi ke perpustakaan,Membaca majalah,B,0
30,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,"Dalam bahasa non verbal, menggelengkan kepala berarti…",Marah,Muak,Putus asa,Sibuk,Menolak,E,0
31,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Salah satu hak mendasar dari Pamuwisata dalam pemanduan wisata adalah…,Diantar,Menyanyi,Mendapat upah,Menjawab,Berbelanja,C,0
32,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Ekspresi wajah Guide yang tidak harus ditunjukkan saat perjalanan wisata adalah…,Wajar,Datar,Emosional,Antusias,Nervous,E,0
33,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Memakai batik bagi Pramuwisata merupakan…,Keharusan,Kebiasaan,Budaya,Identitas budaya,Pembiasaan,D,0
34,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Seorang Tour manajer wajib mengetahui…,Rute,Perincian keuntungan,Segmen pasar,Statistik penjualan,Promosi paket,C,0
35,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Cerminan disiplin yang baik bagi wisatawan adalah…,Berbelanja seperti wisatawan,Selalu siap di lokasi semestinya,Berjaga setiap malam,Menelepon,Tepat waktu tiba di Bus,E,0
36,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Hal utama yang ditanyakan Guide saat koordinasi dengan travel…,Gaji,Bonus,Profil wisatawan,Guest Comment,Agama,C,0
37,https://www.scribd.com/document/502335478/SOAL-PAS-PEMANDUAN-WISATA-C-33-XII-UPW,Tourism,Vocational School,Tourism and Hospitality,Hal terbaik bagi bahasa non verbal ekspresi wajah adalah…,bermuka masam,Menoleh kanan kiri,Sinis,Sopan memandang wisatawan,Muka beseri-seri,E,0
38,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Keseluruhan kegiatan yang terkait dengan pariwisata dan bersifat multidimensi serta multidisiplin yang muncul sebagai wujud kebutuhan setiap orang dan negara serta interaksi antara wisatawan dan masyarakat setempat, sesama wisatawan, pemerintah, pemerintah daerah dan pengusaha disebut.....",Daya tarik wisata,Objek Wisata,Wisatawan,Kepariwisataan,Industri pariwisata,E,0
39,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Dibawah ini unsur-unsur yang tercakup dalam industri pariwisata, kecuali...",Biro perjalanan,Jasa boga,Retribusi daerah,Akomodasi,Atraksi wisata,C,0
40,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Pariwisata yang ruang lingkupnya sangat luas mencapai suatu negara disebut pariwisata....,Internasional,Nasional,Regional,Lokal,Regional-internasional,B,0
41,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Jenis perjalanan wisata dimana yang melakukan perjalanan terdiri atas banyak orang yang bergabung dalam satu rombongan yang biasa diatur oleh sekolah, organisasi, atau tour operator/ travel agent adalah pengelompokkan pariwisata berdasarkan....",Tujuan perjalanan,Harga dan tingkat sosial,Jumlah orang yang melakukan perjalanan,Letak geografis,Pengaruhnya pada neraca pembayaran,C,0
42,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Jenis wisata yang tujuan pokoknya adalah memperoleh pengetahuan atau penyelidikan terhadap suatu bidang ilmu pengetahuan disebut.....,Educational tourism,Business tourism,Hunting tourism,Vacational tourism,Scientific tourism,E,0
43,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Wisata budaya adalah....,Wisata yang dilakukan perorangan atau rombongan ketempat-tempat suci untuk tujuan memperoleh berkah dan kekayaan melimpah,"Wisata untuk menikmati kesegaran udara, keindahan alam pegunungan, melihat keragaman flora dan fauna.",Wisata yang dilakukan oleh orang orang yang menginginkan petualangan yang menantang,"Wisata untuk tujuan pembelajaran, penelitian, atau menambah ilmu pengetahuan.","Perjalanan yang dilakukan atas dasar keinginan untuk memperluas pandangan hidup seseorang dengan jalan mengadakan kunjungan dengan mempelajari keadaan rakyat, kebiasaan adat istiadat, cara hidup, budaya dan seni.",E,0
44,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Perhatikan pernyataan berikut !
    1) Akomodasi apa saja yang digunakan
    2) Souvenir yang akan dibawa pulang
    3) Transportasi yang digunakan
    4) Lokasi objek dan daya tarik wisata atau daerah kunjungan wisata yang dituju
    5) Lamanya perjalanan wisata yang akan dilakukan
Yang merupakan rencana perjalanan wisata ditunjukkan pada no....","1,2,3","2,3,5","1,3,4","2,4,5","1,2,5",C,0
45,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Unsur industri pariwisata cenderung berorientasi pada daya tarik di suatu lokasi. Unsur tersebut dikenal dengan istilah...,Hospitality,Infrastructure,Attractions,Facilities,Transportation,C,0
46,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Perjalanan pariwisata karena ada kaitannya dengan pekerjaan atau jabatan yang tidak memberikan kepada seseorang untuk memilih tujuan maupun waktu perjalanan disebut....,Business tourism,Convection tourism,Cultural tourism,Pleasure tourism,Sport tourism,A,0
47,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Berikut yang tidak termasuk karakteristik wisatawan indonesia adalah....,Gemar belanja,Menyukai kegiatan bepergian secara bersama,Kurang begitu suka tempat wisata yang letaknya jauh,Menghabiskan banyak waktu untuk mencari informasi tentang wisata yang dikunjungi,Menyukai tempat pariwisata yang sedang naik daun.,D,0
48,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Berikut ini yang bukan manfaat industri pariwisata dalam bidang sosial budaya adalah....,Mengurangi konflik sosial,Meningkatkan kecerdasan masyarakat,Pelestarian budaya dan adat,Mendorong pembangunan daerah,Meningkatkan kesehatan jasmani dan rohani,D,0
49,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Banyaknya peluang dan pemanfaatan wisatawan juga mengundang perilaku yang tidak bertanggung jawab, merupakan salah satu contoh dampak negatif dari pengembangan pariwisata dari aspek....",Sosial dan budaya,Ekonomi,Masyarakat,Berbangsa dan bernegara,Lingkungan,D,0
50,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Berikut ini hal yang perlu diantisipasi dari kegiatan pariwisata, kecuali...",Musnahnya kebudayaan asli daerah yang tergeser oleh modernisasi,Menumbuhkan rasa memiliki dan kecintaan terhadap tanah air,Masuknya kebiasaan hidup yang berbahaya,Kecemburuan sosial dari penduduk asli terhadap pendatang,Berubahnya bangunan tradisional,B,0
51,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Dampak negatif pariwisata pada aspek sosial adalah...,Individualisme dan materialisme meningkat,Lapangan kerja meningkat,Ekonomi masyarakat meningkat,Jumlah wisatawan meningkat,Devisa negara meningkat,A,0
52,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Perhatikan pernyataan berikut!
    1) Mendorong pembangunan daerah
    2) Meningkatkan pendapatan masyarakat dari pemeritah
    3) Mengurangi konflik sosial
    4) Membuka kesempatan berusaha
    5) Meningkatkan kecerdasan masyarakat
Dampak positif dari pengembangan pariwisata dilihat dari aspek ekonomi ditunjukkan nomor...","1,2,3","1,2,4","1,4,5","2,3,4","2,4,5",B,0
53,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Menjadi negara tujuan dunia untuk berwisata menjadi suatu kebanggan bangsa Indonesia sehingga banyak wisatawan yang ingin berkunjung khususnya kepulau Bali, sehingga meningkatkan pendapatan masyarakat, hal ini merupakan dampak positif dari aspek...",Ekonomi,Internasional,Budaya,Lingkungan,Politik,A,0
54,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Agar kondisi wisata mencerminkan keramahan, maka berikut ini langkah-langkah yang dapat dilakukan kecuali.....",Bersikap sebagai tuan rumah yang baik,Bersikap pemimpin karena merasa tahu segalanya tentang objek wisata,Senyum dan keramahan yang tulus,Memberi informasi tentang adat istiadat secara sopan,Menampilakn sikap dan perilaku yang terpuji.,B,0
55,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Tujuh unsur pengembangan dan pengelolaan daya tarik wisata di Indonesia disebut dengan istilah,Daya tarik wisata,Saptapesona,Pancausaha tani,Industri pariwisata,Kendala pariwisata,B,0
56,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Berikut yang tidak termasuk dalam saptapesona adalah...,Kenangan,Nyaman,Sejuk,Aman,Tertib,B,0
57,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Pariwisata mampu menawarkan suasana yang akrab, bersahabat, serta seperti sedang “dirumah sendiri” bagi wisatawan, sehingga mendorong minat mereka untuk berkunjung ulang adalah pengertian dari aspek.....saptapesona.",Tertib,Indah,Sejuk,Aman,Ramah,E,0
58,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Suatu produk perjalanan wisata yang dijual oleh suatu perusahaan biro perjalanan disebut....,Package tour,Optional tour,Coach tour,Pre-arranged tour,Special arranged tour.,A,0
59,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Andika dengan kelompoknya mengadakan pendakian di Gunung Lawu. Jenis wisata yang dilakukan Andika adalah...,Buru,Konvensi,Bahari,Cagar alam,Berpetualang,E,0
60,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Berikut ini adalah contoh site attractions yaitu....,Pertunjukkan gamelan,Kebun binatang,Festival kuliner,Cultural exibition,Pameran batik,B,0
61,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Cendera mata umumnya berupa benda.....didaerah setempat,Dengan harga mahal,Dengan jumlah banyak,Yang sering dijumpai,Kerajinan tangan,Kecil dan banyak,C,0
62,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Karakteristik wisatawan Indonesia menyukai destinasi wisata dengan sifat....,Membutuhkan estimasi dana yang banyak,Jarak destinasi dengan rumah yang dekat,Menunjukkan daya tarik alami,Belum dikenal banyak orang,Masih asri.,B,0
63,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Contoh dampak positif industri pariwisata terhadap lingkungan adalah....,Pelestarian budaya dan adat,Meningkatkan kesehatan jasmani dan rohani,Menumbuhkan suasana hidup tenang dan bersih,Menumbuhkan rasa memiliki dan kecintaan terhadap tanah air,Mengurangi konflik sosial,C,0
64,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,"Berikut ini yang bukan manfaat industri pariwisata dalam bidang ekonomi, yaitu....",Mendorong pembangunan daerah,Meningkatkan pendapatan masyarakat dan pemerintah,Membuka kesempatan berusaha,Menambah lapangan pekerjaan,Memperoleh nilai tambah atas pemanfaatan dari lingkungan yang ada.,E,0
65,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Sumber daya alam hayati yang dimiliki Negara Kesatuan Republik Indonesia adalah....,Kelangkaan hewan di hutan,Ketidaklestarian alam,"Keindahan alam, keanekaragaman flora dan fauna",Kesadaran masyarakat menjaga alam,Kesadaran masyarakat menjaga lingkungan,C,0
66,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Indonesia membentang dari sabang sampai merauke memiliki potensi untuk dijadikan sektor kepariwisataan. Berikut ini yang bukan termasuk keunikan dari Indonesia adalah.....,Keindahan alam,Keberagaman suku,Hasil Kerajinan Rakyat,Masyarakat bersifat tradisional,Jumlah bahasa yang banyak.,D,0
67,https://www.scribd.com/document/477009994/KEPARIWISATAAN-X-TB?,Tourism,Vocational School,Tourism and Hospitality,Contoh dampak negatif pariwisata terhadap masyarakat adalah....,Menjunjung budaya luar,Cinta tanah air,Menambah pendapatan,Kebersihan lingkungan,Terbuka lapangan pekerjaan,A,0
68,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,Penggolongan pariwisata dibedakan menjadi beberapa hal. Pariwisata yang ruang lingkupnya sangat luas mencapai suatu negara disebut pariwisata....,Internasional,Nasional,Regional,Lokal,Regional-internasional,B,0
69,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,"Pengelompokan industri pariwisata dibedakan menurut alasan dan letak geografisnya, selain itu ada juga jenis jenis wisata meliputi wisata budaya, wisata bahari, wisata buru, wisata konvensi, cagar alam, berpetualang, beransel, ziarah, dan pertanian. Bagaimanakah yang termasuk dalam wisata budaya....",Wisata yang dilakukan perorangan atau rombongan ketempat-tempat suci untuk tujuan memperoleh berkah dan kekayaan melimpah,"Wisata untuk menikmati kesegaran udara, keindahan alam pegunungan, melihat keragaman flora dan fauna.",Wisata yang dilakukan oleh orang orang yang menginginkan petualangan yang menantang,"Wisata untuk tujuan pembelajaran, penelitian, atau menambah ilmu pengetahuan.","Perjalanan yang dilakukan atas dasar keinginan untuk memperluas pandangan hidup seseorang dengan jalan mengadakan kunjungan dengan mempelajari keadaan rakyat, kebiasaan adat istiadat, cara hidup, budaya dan seni.",E,0
70,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,Karakteristik disetiap negara memiliki ciri khas yang berbeda-beda. Berikut yang tidak termasuk karakteristik wisatawan indonesia adalah....,Gemar belanja,Menyukai kegiatan bepergian secara bersama,Kurang begitu suka tempat wisata yang letaknya jauh,Menghabiskan banyak waktu untuk mencari informasi tentang wisata yang dikunjungi,Menyukai tempat pariwisata yang sedang naik daun.,D,0
71,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,Ada berbagai macam manfaat yang bisa didapatkan pada industri pariwisata jika kita mengelolanya dengan baik. Berikut ini yang bukan manfaat industri pariwisata dalam bidang sosial budaya adalah....,Mengurangi konflik sosial,Meningkatkan kecerdasan masyarakat,Pelestarian budaya dan adat,Mendorong pembangunan daerah,Meningkatkan kesehatan jasmani dan rohani,D,0
72,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,"Masyarakat Indonesia dikenal oleh wisatawan sebagai bangsa yang ramah dalam menjamu tamu atau wisatawan asing maupun lokal. Agar kondisi wisata mencerminkan keramahan, maka berikut ini langkah-langkah yang dapat dilakukan kecuali.....",Bersikap sebagai tuan rumah yang baik,Bersikap pemimpin karena merasa tahu segalanya tentang objek wisata,Senyum dan keramahan yang tulus,Memberi informasi tentang adat istiadat secara sopan,Menampilakn sikap dan perilaku yang terpuji.,B,0
73,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,Ketika kita mengunjungi tempat wisata hal yang dicari sebagai buah tangan yaitu berupa cedera mata. Cendera mata umumnya berupa benda.....didaerah setempat,Dengan harga mahal,Dengan jumlah banyak,Yang sering dijumpai,Kerajinan tangan,Kecil dan banyak,C,0
74,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,Pada suatu Industri pariwisata tentunya terdapat dampak positif dan juga dampak negatif. Contoh dampak positif industri pariwisata terhadap lingkungan adalah....,Pelestarian budaya dan adat,Meningkatkan kesehatan jasmani dan rohani,Menumbuhkan suasana hidup tenang dan bersih,Menumbuhkan rasa memiliki dan kecintaan terhadap tanah air,Mengurangi konflik sosial,C,0
75,https://www.scribd.com/document/513796823/SOAL-KEPARIWISATAAN-USPBK-2020-2021,Tourism,Vocational School,Tourism and Hospitality,Berikut unsur-unsur yang terlibat langsung dalam industri pariwisata yaitu...,"Jasa angkutan, penginapan, atraksi, dan objek wisata","Restoran, akomodasi, cendera mata dan atraksi wisata","Tiket wisata, cedera mata, atraksi wisata dan akomodasi","Atraksi wisata, biro perjalanan, wisatawan dan tiket wisata","Akomodasi, restoran, cendera mata, dan pramuwisata",A,0
